title_x,imdb_rating
Haraamkhor,6.4
Poster Boys,5.5
Mom (film),7.3
Chef (2017 film),5.7
Ranchi Diaries,7.4
Babuji Ek Ticket Bambai,0.0
Rukh (film),6.4
Secret Superstar,7.9
Aval (2017 film),6.8
Ribbon (film),6.9
Shaadi Mein Zaroor Aana,7.6
Jia Aur Jia,4.6
Qarib Qarib Singlle,7.0
Aksar 2,3.7
Panchlait,8.0
Tumhari Sulu,7.0
Julie 2,2.5
Kadvi Hawa,8.0
Firangi,4.5
Fukrey Returns,6.5
Monsoon Shootout,6.5
Ajji,7.0
Chalk n Duster,6.5
Rebellious Flower,6.8
Saankal,7.4
Airlift (film),8.0
Sallu Ki Shaadi,3.9
Irudhi Suttru,7.6
Kyaa Kool Hain Hum 3,1.9
Mastizaade,2.3
Dil Jo Na Keh Saka,7.0
Jugni (2016 film),6.2
Ghayal: Once Again,6.4
Fitoor,5.4
Sanam Re,3.1
Direct Ishq,4.0
Ishq Forever,3.8
Loveshhuda,4.4
Neerja,7.7
Aligarh (film),7.8
Bollywood Diaries,6.0
Love Shagun,5.8
Tere Bin Laden: Dead or Alive,4.3
Jai Gangaajal,5.6
Kapoor & Sons,7.7
Rocky Handsome,6.8
Love Games (film),4.3
Fan (film),7.1
Nil Battey Sannata,8.4
Laal Rang,8.0
Baaghi (2016 film),5.2
Global Baba,5.6
Shortcut Safari,6.1
The Blueberry Hunt,5.7
Santa Banta Pvt Ltd,2.9
Traffic (2016 film),6.7
1920: London,4.1
Azhar (film),5.8
Buddha in a Traffic Jam,6.8
Murari the Mad Gentleman,5.8
Dear Dad (film),6.5
Phobia (2016 film),6.9
Sarbjit (film),7.2
Veerappan (2016 film),5.3
Do Lafzon Ki Kahani (film),6.4
Te3n,7.2
Udta Punjab,7.8
Khel Toh Ab Shuru Hoga,0.0
Luv U Alia,5.3
7 Hours to Go,5.7
Raman Raghav 2.0,7.3
Junooniyat,4.2
Rough Book,7.3
Dhanak,8.0
Fredrick (film),5.0
Dil Toh Deewana Hai,7.1
Sultan (2016 film),7.0
Brahman Naman,5.6
Great Grand Masti,3.7
Waiting (2015 film),7.2
Ishq Click,4.4
M Cream,5.7
Madaari,7.5
Dishoom,5.1
Fever (2016 film),4.7
Rustom (film),7.1
Hai Apna Dil Toh Awara,6.4
Mohenjo Daro (film),5.7
Happy Bhag Jayegi,6.4
Waarrior Savitri,5.0
A Flying Jatt,3.2
Baar Baar Dekho,5.3
Freaky Ali,4.9
Raaz: Reboot,4.5
Pink (2016 film),8.2
Parched,7.6
Banjo (2016 film),5.0
Days of Tafree,7.4
Wah Taj,6.1
Island City (2015 film),6.8
Ek Kahani Julie Ki,0.0
M.S. Dhoni: The Untold Story,7.7
MSG: The Warrior Lion Heart,6.9
Devi (2016 film),5.4
Motu Patlu: King of Kings,7.5
Anna (2016 film),4.9
Fuddu,5.5
Saat Uchakkey,5.7
Beiimaan Love,2.9
Umrika,6.6
Shivaay,6.2
Dongari Ka Raja,4.0
Ae Dil Hai Mushkil,5.8
Tum Bin II,4.8
Rock On 2,5.0
Force 2,6.2
Dear Zindagi,7.6
Befikre,3.9
Moh Maya Money,5.7
Shorgul,5.7
Saansein,3.2
Ki & Ka,5.8
Wajah Tum Ho,4.3
Dangal (film),8.4
Mirzya (film),4.6
Prem Ratan Dhan Payo,4.6
Tanu Weds Manu: Returns,7.7
Tanu Weds Manu: Returns,7.7
31st October (film),5.9
ABCD 2,5.5
Dilwale (2015 film),5.2
Bajrangi Bhaijaan,8.0
Bajirao Mastani,7.2
Welcome Back (film),4.2
Baby (2015 Hindi film),8.0
Singh Is Bliing,5.1
Gabbar Is Back,7.1
Gabbar Is Back,7.1
Mumbai Can Dance Saala,2.7
Alone (2015 Hindi film),3.7
Tevar,4.1
Sharafat Gayi Tel Lene,5.1
Dolly Ki Doli,4.6
Hawaizaada,5.5
Khamoshiyan,4.0
Rahasya,7.6
Jai Jawaan Jai Kisaan (film),5.4
Shamitabh,6.8
Roy (film),3.3
Badlapur (film),7.4
Crazy Cukkad Family,5.3
Take It Easy (2015 film),7.8
Qissa (film),6.6
Ab Tak Chhappan 2,5.8
Dum Laga Ke Haisha,7.5
Dirty Politics (film),2.6
MSG: The Messenger,6.0
Badmashiyaan,4.6
Coffee Bloom,6.5
Hey Bro,3.3
NH10 (film),7.2
Hunterrr,7.0
Detective Byomkesh Bakshy!,7.6
Luckhnowi Ishq,6.9
Court (film),7.7
Margarita with a Straw,7.2
Ek Paheli Leela,3.7
Barkhaa,5.1
Mr. X (2015 film),3.7
NH-8 Road to Nidhivan,3.0
Dilliwali Zaalim Girlfriend,3.8
Dharam Sankat Mein,6.2
Kaagaz Ke Fools,3.9
Kuch Kuch Locha Hai,2.5
Piku,7.6
Bombay Velvet,5.7
I Love Desi,0.0
Dil Dhadakne Do,6.8
Welcome 2 Karachi,4.3
P Se PM Tak,3.9
Mere Genie Uncle,4.5
Hamari Adhuri Kahani,6.7
Miss Tanakpur Haazir Ho,5.4
Uvaa,4.9
Ishq Ke Parindey,6.7
Ishqedarriyaan,4.9
Sabki Bajegi Band,5.3
Masaan,8.1
Guddu Rangeela,5.3
Bezubaan Ishq,4.1
Aisa Yeh Jahaan,7.0
Second Hand Husband,3.8
I Love NY (2015 film),3.6
Main Hoon Part-Time Killer,7.3
Kaun Kitne Paani Mein,6.2
Drishyam (2015 film),8.2
Bangistan,4.6
All Is Well (2015 film),3.8
Brothers (2015 film),6.5
Gour Hari Dastaan,7.5
Manjhi – The Mountain Man,8.0
Thoda Lutf Thoda Ishq,4.1
Phantom (2015 film),5.8
Hero (2015 Hindi film),3.6
Sorry Daddy,5.4
Talvar (film),8.2
Katti Batti,4.9
Meeruthiya Gangsters,7.2
MSG-2 The Messenger,6.8
Calendar Girls (2015 film),4.2
Bhaag Johnny,5.1
Jazbaa,5.8
Bumper Draw,5.1
Chinar Daastaan-E-Ishq,7.0
Kis Kisko Pyaar Karoon,5.7
Pyaar Ka Punchnama 2,7.3
Wedding Pullav,3.9
Shaandaar,3.6
Titli (2014 film),7.6
Guddu Ki Gun,4.7
The Silent Heroes,6.6
Ranbanka,3.7
Dedh Ishqiya,7.1
Karle Pyaar Karle,2.8
Paranthe Wali Gali,5.1
Strings of Passion,6.8
Gunday,2.3
Jai Ho (film),5.2
Hasee Toh Phasee,6.8
Heartless (2014 film),5.2
Ya Rab,6.1
Darr @ the Mall,4.9
One by Two (2014 film),4.1
Babloo Happy Hai,6.8
Highway (2014 Hindi film),7.6
Gulabi Gang (film),7.5
Shaadi Ke Side Effects,5.6
Gulaab Gang,6.1
Queen (2014 film),8.2
Bewakoofiyaan,5.5
Total Siyapaa,5.0
Dee Saturday Night,0.0
Karar: The Deal,4.3
Lakshmi (2014 film),8.0
Ragini MMS 2,3.8
Dishkiyaoon,5.2
Ankhon Dekhi,8.0
Gang of Ghosts,3.6
Anuradha (2014 film),0.0
W (2014 film),6.8
O Teri,3.4
Honour Killing (film),2.3
2 States (2014 film),6.9
Jal (film),6.8
Bhoothnath Returns,6.7
Main Tera Hero,5.2
Lucky Kabootar,5.3
Station (2014 film),7.5
Youngistaan,5.1
Samrat & Co.,6.3
Purani Jeans,6.2
Kya Dilli Kya Lahore,7.4
Koyelaanchal,5.6
Manjunath (film),7.3
Dekh Tamasha Dekh,6.2
Mastram,4.8
The Xposé,3.2
Children of War (2014 film),6.7
Hawaa Hawaai,7.4
Kahin Hai Mera Pyar,6.5
Kuku Mathur Ki Jhand Ho Gayi,5.4
Heropanti,5.3
CityLights (2014 film),7.3
Filmistaan,7.3
Revolver Rani,4.6
Kaanchi: The Unbreakable,4.3
Machhli Jal Ki Rani Hai,2.7
Khwaabb,5.6
Yeh Hai Bakrapur,3.8
Ek Villain,6.4
Bobby Jasoos,5.5
Humshakals,1.8
Humpty Sharma Ki Dulhania,6.0
Hate Story 2,4.4
Lekar Hum Deewana Dil,4.9
Riyasat (film),6.5
Amit Sahni Ki List,5.5
Holiday: A Soldier Is Never Off Duty,7.2
Fugly (film),4.7
Bazaar E Husn,5.0
Pizza (2014 film),6.2
Entertainment (2014 film),4.5
Singham Returns,5.7
Mardaani,7.3
Raja Natwarlal,6.1
Mary Kom (film),6.8
Creature 3D,3.1
Finding Fanny,5.8
Khoobsurat (2014 film),6.4
3 A.M. (2014 film),5.4
Kick (2014 film),5.3
Mad About Dance,6.2
Mumbhai Connection,5.4
Life Is Beautiful (2014 film),5.3
Desi Kattey,4.2
Haider (film),8.1
Bang Bang!,5.5
Spark (2014 film),5.7
Daawat-e-Ishq,6.1
Balwinder Singh Famous Ho Gaya,3.8
Jigariyaa,4.9
Tamanchey,4.6
Mumbai 125 KM,2.7
Meinu Ek Ladki Chaahiye,3.5
