title_x,imdb_rating
Anamika (2008 film),3.3
Jimmy (2008 film),1.5
Jannat (film),6.9
Don Muthu Swami,4.9
Woodstock Villa,3.4
Mere Baap Pehle Aap,5.3
Summer 2007,6.4
De Taali,4.0
Haal-e-Dil,3.4
Thodi Life Thoda Magic,4.2
Thoda Pyaar Thoda Magic,4.9
Via Darjeeling,5.5
Kismat Konnection,5.2
Love Story 2050,2.6
Contract (2008 film),4.2
Mission Istaanbul,3.4
Money Hai Toh Honey Hai,2.8
God Tussi Great Ho,3.6
Mumbai Meri Jaan,7.7
Maan Gaye Mughal-e-Azam,3.1
Rock On!!,7.8
C Kkompany,5.4
Chamku,4.0
Mukhbiir,6.9
Tahaan,7.1
1920 (film),6.4
The Last Lear,7.0
Welcome to Sajjanpur,6.9
Saas Bahu Aur Sensex,5.2
Hari Puttar: A Comedy of Terrors,1.9
Drona (2008 film),2.0
Hello (2008 film),3.3
Karzzzz,2.1
Heroes (2008 film),5.6
Roadside Romeo,5.2
Ek Vivaah... Aisa Bhi,5.3
Deshdrohi,1.5
Fashion (2008 film),6.9
Dasvidaniya,7.8
Yuvvraaj,4.1
Oye Lucky! Lucky Oye!,7.7
Oh My God (2008 film),5.4
Sorry Bhai!,6.1
1971 (2007 film),7.9
Meerabai Not Out,4.0
Wafa: A Deadly Love Story,3.9
Gumnaam – The Mystery,3.7
Dil Kabaddi,5.8
Aag (2007 film),1.7
Aap Kaa Surroor,2.1
Aggar (film),4.0
Anwar (2007 film),6.7
Aaja Nachle,6.3
Apne,6.0
Awarapan,7.2
Bheja Fry (film),7.6
Bhool Bhulaiyaa,7.2
Bhram,4.1
Big Brother (2007 film),3.8
68 Pages,6.4
Aur Pappu Paas Ho Gaya,3.2
Apna Asmaan,6.2
Black Friday (2007 film),8.5
The Blue Umbrella (2005 film),7.6
Blood Brothers (2007 Indian film),8.2
Buddha Mar Gaya,2.5
Cash (2007 film),3.4
Cheeni Kum,6.8
Chhodon Naa Yaar,4.7
Darling (2007 Indian film),3.8
Chak De! India,8.2
Dhamaal,7.2
Goal (2007 Hindi film),4.9
Dharm (film),8.0
Bombay to Goa (2007 film),4.5
Dhokha,6.3
Dil Dosti Etc,7.0
Dhol (film),6.2
Ek Chalis Ki Last Local,7.3
Familywala,5.8
Gandhi My Father,7.3
Don't Stop Dreaming,4.5
Dus Kahaniyaan,5.7
Eklavya: The Royal Guard,6.1
Go (2007 film),2.8
Gauri: The Unborn,3.6
Heyy Babyy,6.0
Guru (2007 film),7.7
Honeymoon Travels Pvt. Ltd.,6.1
Jahan Jaaeyega Hamen Paaeyega,4.3
Jhoom Barabar Jhoom,3.7
Jab We Met,7.9
Good Boy Bad Boy,3.7
Fool & Final,3.3
Khoya Khoya Chand,6.3
Johnny Gaddaar,7.8
Just Married (2007 film),5.4
Kya Love Story Hai,3.6
Kudiyon Ka Hai Zamana,3.6
Hastey Hastey,2.0
Laaga Chunari Mein Daag,5.3
Life in a... Metro,7.4
Loins of Punjab Presents,7.0
Manorama Six Feet Under,7.7
Marigold (2007 film),4.8
MP3: Mera Pehla Pehla Pyaar,7.1
Hattrick (film),4.2
Naqaab,5.3
Mumbai Salsa,5.0
The Namesake (film),7.5
Namastey London,7.1
My Bollywood Bride,4.7
Nehlle Pe Dehlla,3.8
Nishabd,5.4
No Smoking (2007 film),7.2
Om Shanti Om,6.7
Partner (2007 film),5.7
Raqeeb,4.2
Nanhe Jaisalmer,6.0
Life Mein Kabhie Kabhiee,5.9
Risk (2007 film),6.7
Shakalaka Boom Boom,2.4
Red Swastik,2.9
Salaam-e-Ishq: A Tribute to Love,5.1
Saawariya,5.3
Sarhad Paar,4.2
Say Salaam India,6.4
Red: The Dark Side,3.3
Shootout at Lokhandwala,7.1
Strangers (2007 Hindi film),5.0
Swami (2007 film),7.0
Taare Zameen Par,8.4
Ta Ra Rum Pum,5.6
Speed (2007 film),2.9
Traffic Signal (film),6.5
The Train (2007 film),4.3
Showbiz (film),3.8
Sunglass (film),6.5
Welcome (2007 film),6.8
36 China Town,5.6
Aap Ki Khatir (2006 film),3.5
Ahista Ahista (2006 film),7.0
Aksar,4.8
Alag,3.8
Anthony Kaun Hai?,5.4
Apna Sapna Money Money,5.2
Ankahee (2006 film),4.1
Yatra (2007 film),6.3
Baabul (2006 film),5.4
Aisa Kyon Hota Hai?,4.3
Adharm (2006 film),5.1
Being Cyrus,7.2
Banaras (2006 film),6.2
Bas Ek Pal,5.9
Bhagam Bhag,6.3
Chingaari,4.7
Bhoot Unkle,4.1
Chand Ke Paar Chalo (film),7.3
Aryan: Unbreakable,4.5
Chup Chup Ke,6.7
Corporate (2006 film),6.5
Darna Zaroori Hai,5.4
Deadline: Sirf 24 Ghante,6.3
Dil Diya Hai,3.4
Darwaaza Bandh Rakho,5.3
Eight: The Power of Shani,4.7
Dhoom 2,6.5
Dor (film),8.0
Don (2006 Hindi film),7.2
Family (2006 film),5.6
Fanaa (2006 film),7.2
Gangster (2006 film),7.1
Golmaal: Fun Unlimited,7.4
Devaki (2005 film),4.3
Fight Club – Members Only,3.2
Dharti Kahe Pukar Ke (2006 film),6.3
Humko Deewana Kar Gaye,5.2
Humko Tumse Pyaar Hai,4.8
I See You (2006 film),4.1
Jaane Hoga Kya,2.8
Jaan-E-Mann,6.0
Jawani Diwani: A Youthful Joyride,2.8
Holiday (2006 film),4.7
Iqraar by Chance,4.7
Khosla Ka Ghosla,8.3
Kabhi Alvida Naa Kehna,6.1
Love Ke Chakkar Mein,4.2
Lage Raho Munna Bhai,8.1
Kabul Express,6.8
Jigyaasa,3.6
Krrish,6.3
Malamaal Weekly,6.9
Omkara (2006 film),8.1
Pyaar Ke Side Effects,6.7
Naksha,3.1
Phir Hera Pheri,6.7
Pyare Mohan,3.2
Mere Jeevan Saathi (2006 film),3.5
Sacred Evil – A True Story,6.0
Rang De Basanti,8.2
Shaadi Karke Phas Gaya Yaar,4.0
Sandwich (2006 film),5.4
Shaadi Se Pehle,4.0
Saawan... The Love Season,2.2
Shiva (2006 film),4.0
Souten: The Other Woman,4.8
Shikhar (film),4.9
Tathastu,4.5
The Killer (2006 film),4.6
Umrao Jaan (2006 film),5.5
Taxi No. 9211,7.2
Teesri Aankh: The Hidden Camera,2.5
Vivah,6.6
Utthaan,4.4
Waris Shah: Ishq Daa Waaris,7.0
Woh Lamhe...,6.6
Yun Hota Toh Kya Hota,6.7
Umar (film),5.7
Zindaggi Rocks,4.0
Tom Dick and Harry (2006 film),3.2
Aashiq Banaya Aapne,4.2
Anjaane (2005 film),4.0
Apaharan,7.4
Bachke Rehna Re Baba,2.7
7½ Phere,5.4
Barsaat (2005 film),4.0
Bewafaa (2005 film),4.3
Black (2005 film),8.2
Zinda (film),5.0
Bluffmaster!,6.6
99.9 FM (film),4.8
Bhola in Bollywood,6.6
Bhagmati (2005 film),6.5
Blackmail (2005 film),4.1
Bunty Aur Babli,6.2
Chaahat – Ek Nasha,4.0
Chetna: The Excitement,3.2
Chand Sa Roshan Chehra,4.9
Chocolate (2005 film),4.8
D (film),6.8
Deewane Huye Paagal,5.3
Bullet: Ek Dhamaka,3.7
Chehraa,3.8
Dil Jo Bhi Kahey...,4.8
Dosti: Friends Forever,5.5
Classic – Dance of Love,4.9
Dus,5.5
Elaan (2005 film),4.4
Fareb (2005 film),4.3
Ek Ajnabee,5.2
Fun – Can Be Dangerous Sometimes,3.3
Ek Khiladi Ek Haseena (film),5.8
Double Cross (2005 film),4.1
Dreams (2006 film),6.8
Home Delivery,3.2
Garam Masala (2005 film),6.7
Iqbal (film),8.1
Jai Chiranjeeva,5.8
Hazaaron Khwaishein Aisi,7.9
Insan,4.6
Jo Bole So Nihaal (film),3.5
Karam (film),5.5
Kaal (2005 film),4.6
Kalyug (2005 film),6.5
Kasak (2005 film),4.6
Hanuman (2005 film),7.3
James (2005 film),3.6
Kisna: The Warrior Poet,4.5
Koi Aap Sa,5.4
Khamoshh... Khauff Ki Raat,3.3
Jurm (2005 film),5.5
Kuchh Meetha Ho Jaye,3.4
Kyaa Kool Hai Hum,6.1
Lucky: No Time for Love,4.7
Main Aisa Hi Hoon,4.7
Kyon Ki,5.5
Main Meri Patni Aur Woh,7.3
Maine Gandhi Ko Nahin Mara,7.4
Maine Pyaar Kyun Kiya?,5.5
Mangal Pandey: The Rising,6.6
Koi Mere Dil Mein Hai,4.8
Mr Prime Minister,5.1
My Brother…Nikhil,7.3
My Wife's Murder,6.2
Naina (2005 film),4.3
Neal 'n' Nikki,3.2
No Entry,6.6
Padmashree Laloo Prasad Yadav,2.5
Page 3 (film),7.3
Morning Raga,6.9
Parineeta (2005 film),7.2
Pehchaan: The Face of Truth,5.8
Paheli,6.5
Rog,5.1
Pyaar Mein Twist,5.9
Salaam Namaste,6.2
Revati (film),5.2
Sarkar (2005 film),7.6
Sehar,7.8
Shabd (film),5.1
Shabnam Mausi,6.2
Sheesha (2005 film),3.5
Ramji Londonwaley,6.7
Silsiilay,4.1
Socha Na Tha,7.5
Taj Mahal: An Eternal Love Story,5.2
Tango Charlie,6.0
The Film,6.5
Vaada (film),5.6
Vaah! Life Ho Toh Aisi!,4.4
Ssukh,5.3
Shaadi No. 1,3.5
Viruddh... Family Comes First,7.1
Waqt: The Race Against Time,6.8
Vidyaarthi,5.0
Yakeen (2005 film),5.1
Zeher,5.4
Veer-Zaara,7.8
Main Hoon Na,7.0
Zameer: The Fire Within,2.9
Mujhse Shaadi Karogi,6.7
Dhoom,6.7
Khakee,7.4
Hum Tum,7.0
Hulchul (2004 film),6.9
Murder (2004 film),5.4
Yuva,7.4
Aitraaz,6.6
Aetbaar,4.6
Ab Tumhare Hawale Watan Saathiyo,4.6
Aan: Men at Work,5.7
Bardaasht,6.0
Chameli (film),7.1
Agnipankh,5.4
Asambhav,3.4
Charas (2004 film),5.2
Deewaar (2004 film),6.0
Dev (2004 film),6.9
Dil Maange More,5.1
Dil Ne Jise Apna Kahaa,4.4
Dobara,3.1
Aabra Ka Daabra,2.3
Dil Bechara Pyaar Ka Maara,4.0
Gayab,4.2
Fida,5.5
Garv: Pride & Honour,5.5
Ek Se Badhkar Ek (2004 film),4.7
Ek Hasina Thi (film),7.6
Girlfriend (2004 film),3.2
Hatya (2004 film),4.4
Hava Aney Dey,6.2
Hawas (2004 film),2.7
Hyderabad Blues 2,6.2
Julie (2004 film),4.1
Kaun Hai Jo Sapno Mein Aaya,5.1
Inteqam: The Perfect Game,5.3
Kis Kis Ki Kismat,2.5
Insaaf: The Justice,4.0
I Proud to Be an Indian,6.1
Khamosh Pani,7.6
Kismat (2004 film),3.7
Lakeer – Forbidden Lines,4.4
Krishna Cottage,5.1
Kyun! Ho Gaya Na...,4.2
Madhoshi,4.6
Lakshya (film),7.9
Ishq Hai Tumse,3.1
Maqbool,8.2
Masti (2004 film),6.2
Meenaxi: A Tale of Three Cities,6.2
Musafir (2004 film),5.5
Muskaan,4.4
Meri Biwi Ka Jawaab Nahin,3.9
Naach (2004 film),4.2
Netaji Subhas Chandra Bose: The Forgotten Hero,7.5
Paap,5.2
Phir Milenge,6.1
Plan (film),4.2
Police Force: An Inside Story,4.6
Paisa Vasool,4.1
Popcorn Khao! Mast Ho Jao,4.0
Rakht,3.7
Raincoat (film),7.6
Rudraksh (film),2.6
Shaadi Ka Laddoo,5.2
Run (2004 film),4.8
Rok Sako To Rok Lo,4.4
Suno Sasurjee,2.4
Swades,8.2
Taarzan: The Wonder Car,4.4
Nothing but Life,7.4
Shart: The Challenge,3.7
Tumsa Nahin Dekha: A Love Story,4.5
Vaastu Shastra (film),4.9
Yeh Lamhe Judaai Ke,3.8
Sheen (film),6.3
Dude Where's the Party?,4.9
Thoda Tum Badlo Thoda Hum,5.7
Koi... Mil Gaya,7.1
Kal Ho Naa Ho,8.0
Shukriya: Till Death Do Us Apart,5.3
Chalte Chalte (2003 film),6.5
The Hero: Love Story of a Spy,5.2
Baghban (2003 film),7.4
Main Prem Ki Diwani Hoon,4.0
LOC Kargil,5.1
Border (1997 film),5.1
Munna Bhai M.B.B.S.,8.1
Qayamat: City Under Threat,4.7
88 Antop Hill,4.6
3 Deewarein,7.9
Aanch,6.1
Aapko Pehle Bhi Kahin Dekha Hai,4.8
Bhoot (film),6.5
Boom (film),2.3
Aaj Ka Andha Kanoon,3.3
Andaaz,5.3
Andaaz,5.3
Armaan (2003 film),5.2
Chori Chori (2003 film),4.8
Calcutta Mail,5.7
Baaz: A Bird in Danger,3.1
Basti (film),7.5
Magic Magic 3D,3.9
Dil Ka Rishta,4.7
Darna Mana Hai,6.3
Dhoop,7.2
Dhund (2003 film),2.3
Chura Liyaa Hai Tumne,3.7
The Bypass,7.6
Dum (2003 Hindi film),5.6
Dil Pardesi Ho Gayaa,4.8
Ek Alag Mausam,7.0
Footpath (2003 film),5.3
Escape from Taliban,4.5
Ek Din 24 Ghante,4.0
Gangaajal,7.8
Hawa (film),3.3
Haasil,7.6
Final Solution (2003 film),8.7
Ek Aur Ek Gyarah,5.2
Hungama (2003 film),7.5
Green Card Fever,5.9
Flavors (film),7.2
Indian Babu,4.7
Fun2shh... Dudes in the 10th Century,4.6
Inteha (2003 film),5.3
Jaal: The Trap,4.1
Ishq Vishk,6.0
Hawayein,6.2
Jajantaram Mamantaram,5.7
Jism (2003 film),5.2
Jhankaar Beats,7.2
Ganges: River to Heaven,7.4
Kagaar: Life on the Edge,6.2
Kash Aap Hamare Hote,5.2
Khel – No Ordinary Game,4.0
Janasheen,2.9
Kaise Kahoon Ke... Pyaar Hai,3.8
Khushi (2003 Hindi film),4.4
Khwahish,4.2
Kucch To Hai,4.2
Kuch Naa Kaho,5.4
Main Madhuri Dixit Banna Chahti Hoon,6.0
Joggers' Park (film),6.2
Market (2003 film),3.6
Om (2003 film),4.0
Out of Control (2003 film),3.3
Mumbai Matinee,5.2
Matrubhoomi,7.7
Parwana (2003 film),2.1
Pinjar (film),8.0
Mumbai Se Aaya Mera Dost,3.3
Saaya (2003 film),5.8
Samay: When Time Strikes,6.9
Nayee Padosan,5.4
Satta (film),6.9
Sssshhh...,4.3
Praan Jaye Par Shaan Na Jaye,6.3
Raghu Romeo,6.9
Stumped (film),2.6
Rules: Pyaar Ka Superhit Formula,6.5
Right Here Right Now (film),8.0
Raja Bhaiya (film),3.8
Tere Naam,7.1
Tujhe Meri Kasam,6.5
Talaash: The Hunt Begins...,4.7
Tehzeeb (2003 film),6.0
The Pink Mirror,4.4
Yeh Dil,3.9
Xcuse Me,5.7
Raaz (2002 film),6.5
Zameen (2003 film),5.3
Waisa Bhi Hota Hai Part II,7.3
Devdas (2002 Hindi film),7.6
Kaante,6.6
Hum Tumhare Hain Sanam,5.4
Aankhen (2002 film),7.4
Saathiya (film),6.8
Company (film),8.0
Awara Paagal Deewana,6.2
Humraaz,6.3
16 December (film),6.9
23rd March 1931: Shaheed,5.0
Agni Varsha,4.6
Ab Ke Baras,3.4
Aap Mujhe Achche Lagne Lage,3.1
Annarth,3.1
Ansh: The Deadly Part,6.3
Mujhse Dosti Karoge!,5.0
Bollywood Queen,4.6
Badhaai Ho Badhaai,4.4
Chor Machaaye Shor,4.2
Chalo Ishq Ladaaye,4.4
Akhiyon Se Goli Maare,5.0
Bomb the System,6.6
Baaja,6.6
Be-Lagaam,3.1
Deewangee,6.6
Dil Vil Pyar Vyar,5.2
Dil Hai Tumhaara,5.3
Ek Chhotisi Love Story,2.9
Encounter: The Killing,6.8
Filhaal...,5.5
Ghaav: The Wound,6.5
Gunaah (2002 film),3.3
Haan Maine Bhi Pyaar Kiya,3.7
Hum Kisise Kum Nahin (2002 film),4.4
Hum Pyar Tumhi Se Kar Baithe,5.8
Jaani Dushman: Ek Anokhi Kahani,2.8
Jeena Sirf Merre Liye,4.5
Karz: The Burden of Truth,3.9
Kabhie Tum Kabhie Hum,4.7
Kehtaa Hai Dil Baar Baar,4.7
Koi Mere Dil Se Poochhe,3.4
Kranti (2002 film),3.7
Kuch Tum Kaho Kuch Hum Kahein,5.6
Kya Yehi Pyaar Hai,3.8
Kyaa Dil Ne Kahaa,3.0
Kitne Door Kitne Paas,4.5
Maa Tujhhe Salaam (2002 film),3.4
Maine Dil Tujhko Diya,3.8
Makdee,7.4
Hathyar (2002 film),5.7
War and Peace (2002 film),8.3
Maseeha,4.1
Mere Yaar Ki Shaadi Hai,5.3
Mitr My Friend,6.8
Na Tum Jaano Na Hum,5.0
Pitaah,6.4
Om Jai Jagadish,5.5
Nishad (2002 film),5.7
Pyaar Diwana Hota Hai,3.9
Pyaasa (2002 film),3.5
Shaheed-E-Azam,6.8
Road (film),5.6
Shakti: The Power,6.0
Shararat (2002 film),4.6
The Legend of Bhagat Singh,8.1
Tumko Na Bhool Paayenge,5.6
Tum Se Achcha Kaun Hai,4.6
Waah! Tera Kya Kehna,3.7
Yeh Dil Aashiqanaa,4.3
Yeh Kaisi Mohabbat,4.0
Yeh Mohabbat Hai,5.2
Sur – The Melody of Life,6.4
Rishtey (film),4.6
Yeh Hai Jalwa,4.8
Zindagi Khoobsoorat Hai,5.8
Kabhi Khushi Kabhie Gham...,7.4
Yeh Kya Ho Raha Hai?,4.8
Lagaan,8.1
Lagaan,8.1
Gadar: Ek Prem Katha,7.2
Indian (2001 film),5.3
Dil Chahta Hai,8.1
Chori Chori Chupke Chupke,5.4
Yaadein (2001 film),4.4
Lajja (2001 film),6.7
Aalavandhan,7.1
Aamdani Atthanni Kharcha Rupaiya,4.7
Aashiq (2001 film),3.8
Aks (2001 film),5.9
Ajnabee (2001 film),6.3
Censor (film),3.5
Aśoka (film),6.5
Albela (2001 film),3.7
Bas Itna Sa Khwaab Hai,3.8
Ek Rishtaa: The Bond of Love,5.0
Bhairav (film),5.0
Bengal Tiger (2001 film),5.8
Chhupa Rustam: A Musical Thriller,4.5
Daman (film),5.7
Chandni Bar,7.6
Deewaanapan,4.6
Dil Ne Phir Yaad Kiya (2001 film),4.1
Ehsaas: The Feeling,5.6
Farz (2001 film),4.3
Grahan,5.1
Dattak,7.5
Jodi No.1,5.8
Hum Ho Gaye Aapke,4.1
Kasam (2001 film),4.4
Kuch Khatti Kuch Meethi,4.6
Kasoor,6.0
Maya (2001 film),7.0
Ittefaq (2001 film),4.6
Mitti (2001 film),6.0
Mujhe Meri Biwi Se Bachaao,4.3
Mujhe Kucch Kehna Hai,5.1
Hadh: Life on the Edge of Death,4.5
Nayak (2001 Hindi film),7.8
One 2 Ka 4,5.4
Kyo Kii... Main Jhuth Nahin Bolta,5.3
Love Ke Liye Kuch Bhi Karega,6.0
Pyaar Ishq Aur Mohabbat,4.0
Pyaar Tune Kya Kiya,5.7
Paagalpan,6.6
Moksha (2001 film),6.3
Style (2001 film),6.7
Rehnaa Hai Terre Dil Mein,7.5
Officer (2001 film),5.3
Rahul (film),5.5
Pyaar Zindagi Hai,6.6
Yeh Raaste Hain Pyaar Ke,4.0
Tum Bin,7.5
Yeh Teraa Ghar Yeh Meraa Ghar,5.7
Zubeidaa,6.2
Tera Mera Saath Rahen,4.9
Yeh Zindagi Ka Safar,3.0
Sabse Bada Sukh,6.1
Daaka,7.4
Humsafar,9.0
